mac_address,vendor
40:d8:55,AlphaNavigation coltd
40:d8:55,Grande Vitesse Systems
40:d8:55,BITMILL srl
40:d8:55,HuNS
40:d8:55,Sitep Italia Spa
40:d8:55,MEGGITT DEFENSE SYSTEMS INC.
40:d8:55,Brightwell Dispensers
00:50:c2,Nupoint Systems Inc.
40:d8:55,Bactest Limited
00:50:c2,RTT Mobile Interpretation
00:50:c2,Brunel GmbH Section Communications
00:50:c2,LOGISOL Kft.
00:50:c2,"First System Technology Co., Ltd."
00:50:c2,Ease Inc.
00:50:c2,ELAN SYSTEMS
00:50:c2,Propagation Systems Limited
00:50:c2,MYLOGIC
00:50:c2,senTec Elektronik GmbH
00:50:c2,"Sakura Seiki Co.,Ltd."
00:50:c2,CT Company
00:50:c2,Preston Industries dba PolyScience
00:50:c2,ATI Automação Telecomunicações e Informática Ltda
00:50:c2,Vremya-CH JSC
00:50:c2,MC-monitoring SA
00:50:c2,Matsusada Precision Inc.
00:50:c2,YJSYSTEM
00:50:c2,Finishing Brands
00:50:c2,Baudisch Electronic GmbH
00:50:c2,CSA Engineering AG
00:50:c2,CONET Solutions GmbH
00:50:c2,NEWELL TECHNOLOGIES LIMITED
00:50:c2,"RF Code, Inc"
00:50:c2,Pro Design Electronic GmbH
00:50:c2,"Smith Meter, Inc."
00:50:c2,Moritex Corporation
00:50:c2,Y-cam Solutions Ltd
00:50:c2,DSP DESIGN LTD
00:50:c2,Supranet
00:50:c2,Sentry 360 Security
00:50:c2,"EMAC, Inc."
00:50:c2,Reason Tecnologia S.A.
00:50:c2,"Monsoon Solutions, Inc."
00:50:c2,"InForce Computing, Inc."
00:50:c2,Project service S.a.s
00:50:c2,Vemco Sp. z o. o.
00:50:c2,Rosslare Enterprises Limited
00:50:c2,Ruetz Technologies GmbH
00:50:c2,FairyDevices Inc.
00:50:c2,Bio Guard component & technologies
00:50:c2,Samway Electronic SRL
00:50:c2,CT Company
00:50:c2,"Treehaven Technologies, Inc."
00:50:c2,ESI Ventures
00:50:c2,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:c2,Sascal Displays Ltd
00:50:c2,Vitec Multimedia
00:50:c2,Wheatstone Corporation
00:50:c2,HCL Technologies
00:50:c2,BELIK S.P.R.L.
00:50:c2,Joint Stock Company Svyaz Inginiring M
00:50:c2,Plasmatronics pty ltd
00:50:c2,Global Tecnologia LTDA.
00:50:c2,Arcontia Technology AB
00:50:c2,dspnor
00:50:c2,TAIWAN HIPLUS CORPORATION
00:50:c2,Otaki Electric Corporation
00:50:c2,AR RF/Microwave Instrumentation
00:50:c2,head
00:50:c2,TEX COMPUTER SRL
00:50:c2,Saia-Burgess Controls AG
00:50:c2,SPARQ systems
00:50:c2,MCS MICRONIC Computer Systeme GmbH
00:50:c2,"SystemAdvanced Co,Ltd"
00:50:c2,Epec Oy
00:50:c2,"RPA Electronic Solutions, Inc."
00:50:c2,AEL Microsystems Limited
00:50:c2,Swareflex GmbH
00:50:c2,Allerta Inc
00:50:c2,Power-One Italia S.p.A
00:50:c2,Sika Technology AG
00:50:c2,Netmaker
00:50:c2,TTi Ltd
00:50:c2,Arcos Technologies LTD
00:50:c2,Prima sistemi
00:50:c2,"MCOPIA Co., Ltd"
00:50:c2,ACS Motion Control Ltd.
00:50:c2,"TAIYO SEIKI CO.,LTD."
00:50:c2,Institute For Information Industry
00:50:c2,Famas System S.p.A.
00:50:c2,Nanosolution Inc.
00:50:c2,Telemetrics Inc.
00:50:c2,Aesir Copenhagen
00:50:c2,Stichting Sunrise
00:50:c2,Teplovodokhran
00:50:c2,CONTROL SYSTEMS Srl
00:50:c2,Goennheimer Elektronic GmbH
00:50:c2,Michael Riedel Transformatorenbau GmbH
00:50:c2,"IHI Scube Co.,Ltd"
00:50:c2,Trentino Systems
00:50:c2,Cinetix s.r.l.
00:50:c2,Lo-Q plc
00:50:c2,"Radinetworks Co., Ltd"
00:50:c2,Tommotek (WA) Pty Ltd.
00:50:c2,Ocean Sonics
00:50:c2,Leonardo MW Ltd (Land & Naval Defence Electronic)
00:50:c2,A&A GENERAL SRL
00:50:c2,Metraware
00:50:c2,IDC Solutions Pty Ltd
00:50:c2,Keith & Koep GmbH
00:50:c2,"WITHSYSTEM Co.,Ltd"
00:50:c2,Security Services Group (SSG)
00:50:c2,"Esensors, Inc."
00:50:c2,Tele Data Control
00:50:c2,megatec electronic GmbH
00:50:c2,GD Mission Systems
00:50:c2,Manitowoc Ice
00:50:c2,IMAGO Technologies GmbH
00:50:c2,Precision Remotes
00:50:c2,BitWise Controls
00:50:c2,Rong Shun Xuan Corp.
00:50:c2,LAUDA DR. R. WOBSER GMBH & CO. KG
00:50:c2,Capton
00:50:c2,Electrolight Shivuk (1994) Ltd.
00:50:c2,"Software Effect Enterprises, Inc"
00:50:c2,Dumps Electronic
00:50:c2,Manz
00:50:c2,"LSD Science&Technology Co.,Ltd."
00:50:c2,CS-Instruments
00:50:c2,LYNX Technik AG
00:50:c2,Microcubs Systems Pvt Ltd
00:50:c2,"HiSpeed Data, Inc."
00:50:c2,BUANCO SYSTEM A/S
00:50:c2,"EMAC, Inc."
00:50:c2,DATAREGIS S.A.
00:50:c2,Ibetor S.L.
00:50:c2,Telemerkki Oy
