index|mac|seq|id|len|power|timestamp|OUI|random|vendor
50|e6:c0:20:8d:a1:34|1452|50|8|-65|1579269389.457633|e6:c0:20|True|not_resolved
51|3e:40:8c:bf:20:0b|587|50|8|-65|1579269389.985655|3e:40:8c|True|not_resolved
52|3e:40:8c:bf:20:0b|587|3|1|-65|1579269389.985655|3e:40:8c|True|not_resolved
53|3e:40:8c:bf:20:0b|587|45|26|-65|1579269389.985655|3e:40:8c|True|not_resolved
54|3e:40:8c:bf:20:0b|587|127|10|-65|1579269389.985655|3e:40:8c|True|not_resolved
55|3e:40:8c:bf:20:0b|587|191|12|-65|1579269389.985655|3e:40:8c|True|not_resolved
56|3e:40:8c:bf:20:0b|587|221|7|-65|1579269389.985655|3e:40:8c|True|not_resolved
57|3e:40:8c:bf:20:0b|587|255|3|-65|1579269389.985655|3e:40:8c|True|not_resolved
58|3e:40:8c:bf:20:0b|587|221|10|-65|1579269389.985655|3e:40:8c|True|not_resolved
59|da:a1:19:0a:7e:9d|2674|50|4|-65|1579269394.561278|da:a1:19|True|Google, Inc.
60|da:a1:19:06:95:69|2676|50|4|-65|1579269394.647917|da:a1:19|True|Google, Inc.
61|da:a1:19:06:95:69|2677|50|4|-65|1579269394.67296|da:a1:19|True|Google, Inc.
62|da:a1:19:cf:54:eb|2678|50|4|-65|1579269394.73496|da:a1:19|True|Google, Inc.
63|da:a1:19:98:b8:d8|1374|50|4|-65|1579269403.176142|da:a1:19|True|Google, Inc.
64|e2:7c:63:de:c7:d4|2219|50|8|-65|1579269403.496349|e2:7c:63|True|not_resolved
65|e2:7c:63:de:c7:d4|2219|3|1|-65|1579269403.496349|e2:7c:63|True|not_resolved
66|e2:7c:63:de:c7:d4|2219|45|26|-65|1579269403.496349|e2:7c:63|True|not_resolved
67|e2:7c:63:de:c7:d4|2219|127|8|-65|1579269403.496349|e2:7c:63|True|not_resolved
68|e2:7c:63:de:c7:d4|2220|50|8|-65|1579269403.551609|e2:7c:63|True|not_resolved
69|e2:7c:63:de:c7:d4|2220|3|1|-65|1579269403.551609|e2:7c:63|True|not_resolved
70|e2:7c:63:de:c7:d4|2220|45|26|-65|1579269403.551609|e2:7c:63|True|not_resolved
71|5e:1c:3f:ea:8f:a0|3803|50|8|-65|1579269403.997475|5e:1c:3f|True|not_resolved
72|5e:1c:3f:ea:8f:a0|3803|3|1|-65|1579269403.997475|5e:1c:3f|True|not_resolved
73|5e:1c:3f:ea:8f:a0|3803|45|26|-65|1579269403.997475|5e:1c:3f|True|not_resolved
74|5e:1c:3f:ea:8f:a0|3803|63|4|-65|1579269403.997475|5e:1c:3f|True|not_resolved
75|5e:1c:3f:ea:8f:a0|3804|50|8|-65|1579269404.052681|5e:1c:3f|True|not_resolved
76|5e:1c:3f:ea:8f:a0|3804|3|1|-65|1579269404.052681|5e:1c:3f|True|not_resolved
77|5e:1c:3f:ea:8f:a0|3804|45|26|-65|1579269404.052681|5e:1c:3f|True|not_resolved
78|5e:1c:3f:ea:8f:a0|3804|116|8|-65|1579269404.052681|5e:1c:3f|True|not_resolved
79|da:b4:90:1a:29:cd|2749|50|8|-65|1579269405.353149|da:b4:90|True|not_resolved
80|da:b4:90:1a:29:cd|2749|3|1|-65|1579269405.353149|da:b4:90|True|not_resolved
81|da:b4:90:1a:29:cd|2749|45|26|-65|1579269405.353149|da:b4:90|True|not_resolved
82|da:b4:90:1a:29:cd|2749|127|8|-65|1579269405.353149|da:b4:90|True|not_resolved
83|da:b4:90:1a:29:cd|2750|50|8|-65|1579269405.373336|da:b4:90|True|not_resolved
84|da:b4:90:1a:29:cd|2750|3|1|-65|1579269405.373336|da:b4:90|True|not_resolved
85|da:b4:90:1a:29:cd|2750|45|26|-65|1579269405.373336|da:b4:90|True|not_resolved
86|da:b4:90:1a:29:cd|2750|127|8|-65|1579269405.373336|da:b4:90|True|not_resolved
87|5e:f1:fc:66:be:0c|3076|50|8|-65|1579269405.412503|5e:f1:fc|True|not_resolved
88|5e:f1:fc:66:be:0c|3076|3|1|-65|1579269405.412503|5e:f1:fc|True|not_resolved
89|5e:f1:fc:66:be:0c|3076|45|26|-65|1579269405.412503|5e:f1:fc|True|not_resolved
90|5e:f1:fc:66:be:0c|3076|127|8|-65|1579269405.412503|5e:f1:fc|True|not_resolved
91|5e:f1:fc:66:be:0c|3076|107|7|-65|1579269405.412503|5e:f1:fc|True|not_resolved
92|5e:f1:fc:66:be:0c|3076|221|11|-65|1579269405.412503|5e:f1:fc|True|not_resolved
93|5e:f1:fc:66:be:0c|3076|221|30|-65|1579269405.412503|5e:f1:fc|True|not_resolved
94|5e:f1:fc:66:be:0c|3076|221|8|-65|1579269405.412503|5e:f1:fc|True|not_resolved
95|5e:f1:fc:66:be:0c|3076|221|9|-65|1579269405.412503|5e:f1:fc|True|not_resolved
96|5e:f1:fc:66:be:0c|3077|50|8|-65|1579269405.43182|5e:f1:fc|True|not_resolved
97|5e:f1:fc:66:be:0c|3077|3|1|-65|1579269405.43182|5e:f1:fc|True|not_resolved
98|5e:f1:fc:66:be:0c|3077|45|26|-65|1579269405.43182|5e:f1:fc|True|not_resolved
99|5e:f1:fc:66:be:0c|3077|127|8|-65|1579269405.43182|5e:f1:fc|True|not_resolved
100|5e:f1:fc:66:be:0c|3077|107|7|-65|1579269405.43182|5e:f1:fc|True|not_resolved
101|5e:f1:fc:66:be:0c|3077|221|11|-65|1579269405.43182|5e:f1:fc|True|not_resolved
102|5e:f1:fc:66:be:0c|3077|221|30|-65|1579269405.43182|5e:f1:fc|True|not_resolved
103|5e:f1:fc:66:be:0c|3077|221|8|-65|1579269405.43182|5e:f1:fc|True|not_resolved
104|5e:f1:fc:66:be:0c|3077|221|9|-65|1579269405.43182|5e:f1:fc|True|not_resolved
105|3a:f8:12:10:45:d7|3842|50|8|-65|1579269405.72971|3a:f8:12|True|not_resolved
106|3a:f8:12:10:45:d7|3842|3|1|-65|1579269405.72971|3a:f8:12|True|not_resolved
107|3a:f8:12:10:45:d7|3842|45|26|-65|1579269405.72971|3a:f8:12|True|not_resolved
108|3a:f8:12:10:45:d7|3842|127|8|-65|1579269405.72971|3a:f8:12|True|not_resolved
109|3a:f8:12:10:45:d7|3843|50|8|-65|1579269405.754492|3a:f8:12|True|not_resolved
110|3a:f8:12:10:45:d7|3843|3|1|-65|1579269405.754492|3a:f8:12|True|not_resolved
111|3a:f8:12:10:45:d7|3843|45|26|-65|1579269405.754492|3a:f8:12|True|not_resolved
112|3a:f8:12:10:45:d7|3843|127|8|-65|1579269405.754492|3a:f8:12|True|not_resolved
113|3a:f8:12:10:45:d7|3845|50|8|-65|1579269405.776585|3a:f8:12|True|not_resolved
114|3a:f8:12:10:45:d7|3845|3|1|-65|1579269405.776585|3a:f8:12|True|not_resolved
115|3a:f8:12:10:45:d7|3845|45|26|-65|1579269405.776585|3a:f8:12|True|not_resolved
116|3a:f8:12:10:45:d7|3845|127|8|-65|1579269405.776585|3a:f8:12|True|not_resolved
117|3a:f8:12:10:45:d7|3846|50|8|-65|1579269405.799423|3a:f8:12|True|not_resolved
118|3a:f8:12:10:45:d7|3846|3|1|-65|1579269405.799423|3a:f8:12|True|not_resolved
119|3a:f8:12:10:45:d7|3849|50|8|-65|1579269405.821669|3a:f8:12|True|not_resolved
120|3a:f8:12:10:45:d7|3849|3|1|-65|1579269405.821669|3a:f8:12|True|not_resolved
121|3a:f8:12:10:45:d7|3851|50|8|-65|1579269405.844615|3a:f8:12|True|not_resolved
122|3a:f8:12:10:45:d7|3851|3|1|-65|1579269405.844615|3a:f8:12|True|not_resolved
123|3a:f8:12:10:45:d7|3851|45|26|-65|1579269405.844615|3a:f8:12|True|not_resolved
124|3a:f8:12:10:45:d7|3851|63|4|-65|1579269405.844615|3a:f8:12|True|not_resolved
125|3a:f8:12:10:45:d7|3853|50|8|-65|1579269405.866467|3a:f8:12|True|not_resolved
126|3a:f8:12:10:45:d7|3853|3|1|-65|1579269405.866467|3a:f8:12|True|not_resolved
127|3a:f8:12:10:45:d7|3853|45|26|-65|1579269405.866467|3a:f8:12|True|not_resolved
128|3a:f8:12:10:45:d7|3853|63|4|-65|1579269405.866467|3a:f8:12|True|not_resolved
129|62:3f:cf:3d:1d:95|3094|50|8|-65|1579269405.933363|62:3f:cf|True|not_resolved
130|62:3f:cf:3d:1d:95|3094|3|1|-65|1579269405.933363|62:3f:cf|True|not_resolved
131|62:3f:cf:3d:1d:95|3094|45|26|-65|1579269405.933363|62:3f:cf|True|not_resolved
132|62:3f:cf:3d:1d:95|3095|50|8|-65|1579269405.952697|62:3f:cf|True|not_resolved
133|62:3f:cf:3d:1d:95|3096|98|1|-65|1579269405.976406|62:3f:cf|True|not_resolved
134|62:3f:cf:3d:1d:95|3096|109|12|-65|1579269405.976406|62:3f:cf|True|not_resolved
135|62:3f:cf:3d:1d:95|3097|50|8|-65|1579269405.996029|62:3f:cf|True|not_resolved
136|62:3f:cf:3d:1d:95|3097|134|22|-65|1579269405.996029|62:3f:cf|True|not_resolved
137|62:3f:cf:3d:1d:95|3097|128|63|-65|1579269405.996029|62:3f:cf|True|not_resolved
138|62:3f:cf:3d:1d:95|3097|110|4|-65|1579269405.996029|62:3f:cf|True|not_resolved
139|12:ac:c8:1a:63:e4|1969|50|8|-65|1579269411.399269|12:ac:c8|True|not_resolved
140|12:ac:c8:1a:63:e4|1969|2|43|-65|1579269411.399269|12:ac:c8|True|not_resolved
141|12:ac:c8:1a:63:e4|1970|50|8|-65|1579269411.420751|12:ac:c8|True|not_resolved
142|12:ac:c8:1a:63:e4|1970|3|1|-65|1579269411.420751|12:ac:c8|True|not_resolved
143|12:ac:c8:1a:63:e4|1970|45|26|-65|1579269411.420751|12:ac:c8|True|not_resolved
144|12:ac:c8:1a:63:e4|1970|127|10|-65|1579269411.420751|12:ac:c8|True|not_resolved
145|12:ac:c8:1a:63:e4|1970|191|12|-65|1579269411.420751|12:ac:c8|True|not_resolved
146|12:ac:c8:1a:63:e4|1970|221|7|-65|1579269411.420751|12:ac:c8|True|not_resolved
147|12:ac:c8:1a:63:e4|1970|255|3|-65|1579269411.420751|12:ac:c8|True|not_resolved
148|12:ac:c8:1a:63:e4|1970|127|10|-65|1579269411.420751|12:ac:c8|True|not_resolved
149|12:ac:c8:1a:63:e4|1970|221|10|-65|1579269411.420751|12:ac:c8|True|not_resolved
150|12:ac:c8:1a:63:e4|1970|221|8|-65|1579269411.420751|12:ac:c8|True|not_resolved
151|12:ac:c8:1a:63:e4|1971|50|8|-65|1579269411.44189|12:ac:c8|True|not_resolved
152|12:ac:c8:1a:63:e4|1971|3|1|-65|1579269411.44189|12:ac:c8|True|not_resolved
153|12:ac:c8:1a:63:e4|1971|45|26|-65|1579269411.44189|12:ac:c8|True|not_resolved
154|12:ac:c8:1a:63:e4|1971|127|10|-65|1579269411.44189|12:ac:c8|True|not_resolved
155|12:ac:c8:1a:63:e4|1971|191|12|-65|1579269411.44189|12:ac:c8|True|not_resolved
156|12:ac:c8:1a:63:e4|1971|221|7|-65|1579269411.44189|12:ac:c8|True|not_resolved
157|12:ac:c8:1a:63:e4|1971|255|3|-65|1579269411.44189|12:ac:c8|True|not_resolved
158|12:ac:c8:1a:63:e4|1971|127|10|-65|1579269411.44189|12:ac:c8|True|not_resolved
159|12:ac:c8:1a:63:e4|1971|221|10|-65|1579269411.44189|12:ac:c8|True|not_resolved
160|12:ac:c8:1a:63:e4|1971|221|8|-65|1579269411.44189|12:ac:c8|True|not_resolved
161|12:ac:c8:1a:63:e4|1973|50|8|-65|1579269411.484043|12:ac:c8|True|not_resolved
162|12:ac:c8:1a:63:e4|1973|3|1|-65|1579269411.484043|12:ac:c8|True|not_resolved
163|12:ac:c8:1a:63:e4|1973|45|26|-65|1579269411.484043|12:ac:c8|True|not_resolved
164|da:a1:19:6c:d7:8f|441|50|8|-65|1579269415.155003|da:a1:19|True|Google, Inc.
165|da:a1:19:6c:d7:8f|441|3|1|-65|1579269415.155003|da:a1:19|True|Google, Inc.
166|da:a1:19:6c:d7:8f|441|45|26|-65|1579269415.155003|da:a1:19|True|Google, Inc.
167|da:a1:19:6c:d7:8f|441|127|10|-65|1579269415.155003|da:a1:19|True|Google, Inc.
168|da:a1:19:6c:d7:8f|441|191|12|-65|1579269415.155003|da:a1:19|True|Google, Inc.
169|da:a1:19:6c:d7:8f|441|221|7|-65|1579269415.155003|da:a1:19|True|Google, Inc.
170|da:a1:19:6c:d7:8f|441|255|3|-65|1579269415.155003|da:a1:19|True|Google, Inc.
171|da:a1:19:6c:d7:8f|441|221|10|-65|1579269415.155003|da:a1:19|True|Google, Inc.
172|da:a1:19:6c:d7:8f|446|50|8|-65|1579269415.205389|da:a1:19|True|Google, Inc.
173|da:a1:19:6c:d7:8f|446|3|1|-65|1579269415.205389|da:a1:19|True|Google, Inc.
174|da:a1:19:6c:d7:8f|446|45|26|-65|1579269415.205389|da:a1:19|True|Google, Inc.
175|da:a1:19:6c:d7:8f|446|127|10|-65|1579269415.205389|da:a1:19|True|Google, Inc.
176|da:a1:19:6c:d7:8f|446|191|12|-65|1579269415.205389|da:a1:19|True|Google, Inc.
177|da:a1:19:6c:d7:8f|446|221|7|-65|1579269415.205389|da:a1:19|True|Google, Inc.
178|da:a1:19:6c:d7:8f|446|255|3|-65|1579269415.205389|da:a1:19|True|Google, Inc.
179|da:a1:19:6c:d7:8f|446|221|10|-65|1579269415.205389|da:a1:19|True|Google, Inc.
180|da:a1:19:6c:d7:8f|447|50|8|-65|1579269415.21538|da:a1:19|True|Google, Inc.
181|da:a1:19:6c:d7:8f|447|3|1|-65|1579269415.21538|da:a1:19|True|Google, Inc.
182|da:a1:19:6c:d7:8f|447|45|26|-65|1579269415.21538|da:a1:19|True|Google, Inc.
183|da:a1:19:6c:d7:8f|447|127|10|-65|1579269415.21538|da:a1:19|True|Google, Inc.
184|da:a1:19:6c:d7:8f|447|84|5|-65|1579269415.21538|da:a1:19|True|Google, Inc.
185|da:a1:19:6c:d7:8f|448|50|8|-65|1579269415.225141|da:a1:19|True|Google, Inc.
186|da:a1:19:6c:d7:8f|448|3|1|-65|1579269415.225141|da:a1:19|True|Google, Inc.
187|da:a1:19:6c:d7:8f|448|45|26|-65|1579269415.225141|da:a1:19|True|Google, Inc.
188|da:a1:19:6c:d7:8f|448|127|10|-65|1579269415.225141|da:a1:19|True|Google, Inc.
189|da:a1:19:6c:d7:8f|448|191|12|-65|1579269415.225141|da:a1:19|True|Google, Inc.
190|da:a1:19:6c:d7:8f|448|221|7|-65|1579269415.225141|da:a1:19|True|Google, Inc.
191|da:a1:19:6c:d7:8f|448|255|3|-65|1579269415.225141|da:a1:19|True|Google, Inc.
192|da:a1:19:6c:d7:8f|448|221|10|-65|1579269415.225141|da:a1:19|True|Google, Inc.
193|da:a1:19:6c:d7:8f|450|50|8|-65|1579269415.245161|da:a1:19|True|Google, Inc.
194|da:a1:19:6c:d7:8f|450|3|1|-65|1579269415.245161|da:a1:19|True|Google, Inc.
195|da:a1:19:6c:d7:8f|450|45|26|-65|1579269415.245161|da:a1:19|True|Google, Inc.
196|da:a1:19:6c:d7:8f|450|166|10|-65|1579269415.245161|da:a1:19|True|Google, Inc.
197|da:a1:19:6c:d7:8f|450|95|6|-65|1579269415.245161|da:a1:19|True|Google, Inc.
198|da:a1:19:bf:e8:e3|2159|50|4|-65|1579269429.147934|da:a1:19|True|Google, Inc.
199|da:a1:19:01:09:ea|2161|50|4|-65|1579269429.229618|da:a1:19|True|Google, Inc.
200|da:a1:19:01:09:ea|2162|50|4|-65|1579269429.254336|da:a1:19|True|Google, Inc.
201|da:a1:19:e3:36:9c|2163|50|4|-65|1579269429.312296|da:a1:19|True|Google, Inc.
202|ec:10:7b:a3:ef:df|1488|50|8|-65|1579269436.48339|ec:10:7b|False|Samsung Electronics Co.,Ltd
203|ec:10:7b:a3:ef:df|1488|3|1|-65|1579269436.48339|ec:10:7b|False|Samsung Electronics Co.,Ltd
204|ec:10:7b:a3:ef:df|1488|45|26|-65|1579269436.48339|ec:10:7b|False|Samsung Electronics Co.,Ltd
205|ec:10:7b:a3:ef:df|1489|50|8|-65|1579269436.513524|ec:10:7b|False|Samsung Electronics Co.,Ltd
206|ec:10:7b:a3:ef:df|1489|3|1|-65|1579269436.513524|ec:10:7b|False|Samsung Electronics Co.,Ltd
207|ec:10:7b:a3:ef:df|1489|45|26|-65|1579269436.513524|ec:10:7b|False|Samsung Electronics Co.,Ltd
208|ec:10:7b:a3:ef:df|1489|238|3|-65|1579269436.513524|ec:10:7b|False|Samsung Electronics Co.,Ltd
209|ec:10:7b:a3:ef:df|1492|50|8|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
210|ec:10:7b:a3:ef:df|1492|3|1|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
211|ec:10:7b:a3:ef:df|1492|45|26|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
212|ec:10:7b:a3:ef:df|1492|221|7|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
213|ec:10:7b:a3:ef:df|1492|127|6|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
214|ec:10:7b:a3:ef:df|1492|107|1|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
215|ec:10:7b:a3:ef:df|1492|221|5|-65|1579269436.623325|ec:10:7b|False|Samsung Electronics Co.,Ltd
216|ec:10:7b:a3:ef:df|1493|50|8|-65|1579269436.653642|ec:10:7b|False|Samsung Electronics Co.,Ltd
217|ec:10:7b:a3:ef:df|1493|3|1|-65|1579269436.653642|ec:10:7b|False|Samsung Electronics Co.,Ltd
218|ec:10:7b:a3:ef:df|1493|45|26|-65|1579269436.653642|ec:10:7b|False|Samsung Electronics Co.,Ltd
219|ec:10:7b:a3:ef:df|1494|50|8|-65|1579269436.693237|ec:10:7b|False|Samsung Electronics Co.,Ltd
220|ec:10:7b:a3:ef:df|1494|3|1|-65|1579269436.693237|ec:10:7b|False|Samsung Electronics Co.,Ltd
221|ec:10:7b:a3:ef:df|1495|50|8|-65|1579269436.723528|ec:10:7b|False|Samsung Electronics Co.,Ltd
222|ec:10:7b:a3:ef:df|1495|3|1|-65|1579269436.723528|ec:10:7b|False|Samsung Electronics Co.,Ltd
223|ec:10:7b:a3:ef:df|1495|45|26|-65|1579269436.723528|ec:10:7b|False|Samsung Electronics Co.,Ltd
224|ec:10:7b:a3:ef:df|1496|50|8|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
225|ec:10:7b:a3:ef:df|1496|3|1|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
226|ec:10:7b:a3:ef:df|1496|45|26|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
227|ec:10:7b:a3:ef:df|1496|221|7|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
228|ec:10:7b:a3:ef:df|1496|127|6|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
229|ec:10:7b:a3:ef:df|1496|107|1|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
230|ec:10:7b:a3:ef:df|1496|221|5|-65|1579269436.763209|ec:10:7b|False|Samsung Electronics Co.,Ltd
231|ec:10:7b:a3:ef:df|1497|50|8|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
232|ec:10:7b:a3:ef:df|1497|3|1|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
233|ec:10:7b:a3:ef:df|1497|45|26|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
234|ec:10:7b:a3:ef:df|1497|221|7|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
235|ec:10:7b:a3:ef:df|1497|127|6|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
236|ec:10:7b:a3:ef:df|1497|107|1|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
237|ec:10:7b:a3:ef:df|1497|221|5|-65|1579269436.793704|ec:10:7b|False|Samsung Electronics Co.,Ltd
238|ec:10:7b:a3:ef:df|1498|50|8|-65|1579269436.833478|ec:10:7b|False|Samsung Electronics Co.,Ltd
239|ec:10:7b:a3:ef:df|1498|3|1|-65|1579269436.833478|ec:10:7b|False|Samsung Electronics Co.,Ltd
240|ec:10:7b:a3:ef:df|1499|50|8|-65|1579269436.86374|ec:10:7b|False|Samsung Electronics Co.,Ltd
241|ec:10:7b:a3:ef:df|1500|50|8|-65|1579269436.903613|ec:10:7b|False|Samsung Electronics Co.,Ltd
242|ec:10:7b:a3:ef:df|1500|3|1|-65|1579269436.903613|ec:10:7b|False|Samsung Electronics Co.,Ltd
243|ec:10:7b:a3:ef:df|1500|45|26|-65|1579269436.903613|ec:10:7b|False|Samsung Electronics Co.,Ltd
244|ec:10:7b:a3:ef:df|1500|221|7|-65|1579269436.903613|ec:10:7b|False|Samsung Electronics Co.,Ltd
